category,description,link,datatype
SKATING_INDOOR,The user is skating in-doors.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SKATING_INLINE,The user is inline skating (roller-blading).,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SKIING,The user is skiing.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SKIING_BACK_COUNTRY,The user is back-country skiing.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SKIING_CROSS_COUNTRY,The user is cross-country skiing.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SKIING_DOWNHILL,The user is downhill skiing.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SKIING_KITE,The user is kite skiing.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SKIING_ROLLER,The user is roller skiing (non-snow).,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SLEDDING,The user is sledding.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SLEEP,The user is sleeping.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SLEEP_AWAKE,This constant is deprecated. No longer valid activity for Sessions or activity segment. See AWAKE and TYPE_SLEEP_SEGMENT,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SLEEP_DEEP,This constant is deprecated. No longer valid activity for Sessions or activity segment. SLEEP_DEEP and TYPE_SLEEP_SEGMENT,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SLEEP_LIGHT,This constant is deprecated. No longer valid activity for Sessions or activity segments. See SLEEP_LIGHT and TYPE_SLEEP_SEGMENT,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SLEEP_REM,This constant is deprecated. No longer valid activity for Sessions or activity segment. See SLEEP_REM and TYPE_SLEEP_SEGMENT,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SNOWBOARDING,The user is snowboarding.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SNOWMOBILE,The user is on a snow mobile.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SNOWSHOEING,The user is snow-shoeing.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SOFTBALL,The user is playing softball.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SQUASH,The user is playing Squash.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
STAIR_CLIMBING,The user is climbing stairs.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
STAIR_CLIMBING_MACHINE,The user is using a stair-climbing machine.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
STANDUP_PADDLEBOARDING,The user is on a stand-up paddle board.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
STATUS_ACTIVE,Status indicating the activity has started.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
STATUS_COMPLETED,Status indicating the activity has ended.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
STILL,The user is still (not moving).,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
STRENGTH_TRAINING,The user is strength training.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SURFING,The user is surfing.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SWIMMING,The user is swimming.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SWIMMING_OPEN_WATER,The user is swimming in open waters.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
SWIMMING_POOL,The user is swimming in a swimming pool.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
TABLE_TENNIS,The user is playing table tennis (or ping-pong).,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
TEAM_SPORTS,The user is playing a team sport.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
TENNIS,The user is playing tennis.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
TILTING,"This is a synthetic activity used to indicate that the device angle relative to gravity changed significantly between the sample immediately before and immediately after the ""tilting"" sample.",https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
TREADMILL,This constant is deprecated. Use WALKING_TREADMILL or RUNNING_TREADMILL instead.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
UNKNOWN,The current activity is not known.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
VOLLEYBALL,The user is playing volleyball.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
VOLLEYBALL_BEACH,The user is playing beach volleyball.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
VOLLEYBALL_INDOOR,The user is playing indoor volleyball.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
WAKEBOARDING,The user is wake boarding.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
WALKING,The user is walking.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
WALKING_FITNESS,"The user is walking at a moderate to high pace, for fitness.",https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
WALKING_NORDIC,The user is performing Nordic walking (with poles).,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
WALKING_STROLLER,The user is walking while pushing a stroller.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
WALKING_TREADMILL,The user is walking on a treadmill,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
